"","Root","Seed","Soil","Stem"
"ASV168",0,0,0,1
"ASV170",1,1,1,1
"ASV174",1,0,0,0
"ASV175",0,0,1,0
"ASV176",0,1,0,0
"ASV178",1,0,0,1
"ASV179",0,1,0,0
"ASV180",1,0,0,0
"ASV181",0,0,0,1
"ASV182",0,0,1,0
"ASV189",0,0,0,1
"ASV190",1,0,0,0
"ASV191",0,0,1,0
"ASV195",0,0,1,0
"ASV196",0,1,0,0
"ASV199",1,0,0,0
"ASV201",0,1,0,0
"ASV202",0,0,1,0
"ASV205",0,0,0,1
"ASV206",0,0,1,0
"ASV207",0,0,1,0
"ASV208",0,0,1,0
"ASV209",0,1,0,0
"ASV210",1,0,0,0
"ASV212",0,0,0,1
"ASV219",0,0,1,0
"ASV225",1,0,0,0
"ASV227",0,0,1,0
"ASV229",0,0,1,0
"ASV231",1,0,0,0
"ASV233",1,0,0,0
"ASV234",0,1,0,0
"ASV235",0,0,0,1
"ASV238",0,0,0,1
"ASV240",0,0,1,0
"ASV244",0,0,0,1
"ASV249",0,0,0,1
"ASV251",1,0,0,0
"ASV252",0,1,0,0
"ASV254",0,0,0,1
"ASV257",0,0,0,1
"ASV258",0,0,1,0
"ASV259",1,0,0,0
"ASV262",0,1,0,0
"ASV263",0,0,0,1
"ASV268",0,0,1,1
"ASV273",0,1,0,0
"ASV281",0,0,1,0
"ASV284",1,0,0,0
"ASV285",0,0,1,0
"ASV287",0,1,0,0
"ASV294",0,0,0,1
"ASV297",0,1,0,0
"ASV298",0,1,0,0
"ASV304",1,0,0,0
"ASV313",0,0,0,1
"ASV315",0,1,0,0
"ASV318",0,1,0,0
"ASV323",0,0,1,0
"ASV325",0,0,1,0
"ASV329",0,1,0,0
"ASV330",0,1,0,0
"ASV331",1,0,0,1
"ASV332",1,0,0,0
"ASV334",0,1,0,0
"ASV336",0,1,0,0
"ASV337",0,1,0,0
"ASV339",0,0,1,0
"ASV343",1,0,1,1
"ASV346",1,0,0,0
"ASV348",0,1,0,0
"ASV349",0,1,0,0
"ASV354",1,0,0,0
"ASV355",0,1,0,0
"ASV358",1,0,0,0
"ASV360",0,1,0,0
"ASV362",1,0,0,0
"ASV364",0,0,0,1
"ASV365",0,0,1,0
"ASV368",0,0,0,1
"ASV369",1,0,0,1
"ASV374",0,1,0,0
"ASV375",0,0,0,1
"ASV376",0,0,0,1
"ASV377",0,0,1,0
"ASV383",1,0,0,0
"ASV386",0,1,0,0
"ASV389",0,0,0,1
"ASV390",1,0,0,0
"ASV394",1,0,0,0
"ASV395",1,0,0,0
"ASV400",0,1,0,0
"ASV402",1,0,0,0
"ASV409",0,0,0,1
"ASV410",0,1,0,0
"ASV414",0,0,0,1
"ASV416",0,0,1,0
"ASV421",0,1,0,0
"ASV424",1,0,0,0
"ASV425",0,0,1,0
"ASV426",0,1,0,0
"ASV440",0,0,1,0
"ASV444",1,0,0,0
"ASV445",0,0,1,0
"ASV448",1,0,0,0
"ASV449",0,0,0,1
"ASV450",0,0,1,0
"ASV453",0,0,1,0
"ASV454",0,0,0,1
"ASV457",0,1,0,0
"ASV463",0,0,1,0
"ASV464",0,0,1,0
"ASV466",0,0,0,1
"ASV473",0,0,1,0
"ASV474",0,1,0,0
"ASV475",0,1,0,0
"ASV477",1,0,1,1
"ASV478",0,0,1,0
"ASV481",0,1,0,0
"ASV482",1,0,0,0
"ASV483",0,0,0,1
"ASV486",0,0,1,0
"ASV489",0,1,0,0
"ASV490",0,1,0,0
"ASV493",0,1,0,0
"ASV497",0,0,1,0
"ASV499",1,0,0,0
"ASV502",0,1,0,0
"ASV507",0,0,1,0
"ASV508",0,0,1,0
"ASV509",0,1,0,0
"ASV510",0,1,0,0
"ASV511",1,0,0,0
"ASV515",0,1,0,0
"ASV516",0,1,0,0
"ASV517",0,1,0,0
"ASV520",0,0,1,0
"ASV523",0,1,0,0
"ASV524",1,0,0,0
"ASV528",0,0,1,0
"ASV529",0,0,1,0
"ASV532",0,1,0,0
"ASV533",0,1,0,0
"ASV535",1,0,0,0
"ASV539",0,0,1,0
"ASV540",0,0,1,0
"ASV542",0,1,0,0
"ASV543",0,1,0,0
"ASV545",1,0,0,0
"ASV549",0,0,1,0
"ASV550",0,0,1,0
"ASV552",0,1,0,0
"ASV558",0,1,0,0
"ASV562",0,0,1,0
"ASV565",0,1,0,0
"ASV569",0,0,1,0
"ASV570",0,0,1,0
"ASV571",0,0,1,0
"ASV572",0,0,1,0
"ASV576",0,1,0,0
"ASV577",0,1,0,0
"ASV578",0,1,0,0
"ASV585",0,1,0,0
"ASV595",0,1,0,0
"ASV598",1,0,0,0
"ASV604",0,0,1,0
"ASV609",1,0,0,0
"ASV613",1,0,1,0
"ASV614",0,0,1,0
"ASV618",0,1,0,0
"ASV619",0,1,0,0
"ASV620",0,1,0,0
"ASV626",0,0,1,0
"ASV627",0,1,0,0
"ASV628",0,1,0,0
"ASV629",0,1,0,0
"ASV630",0,1,0,0
"ASV639",0,0,1,0
"ASV640",0,0,1,0
"ASV641",0,0,1,0
"ASV647",0,1,0,0
"ASV651",1,0,0,0
"ASV657",0,0,1,0
"ASV658",0,0,1,0
"ASV663",0,1,0,0
"ASV664",0,1,0,0
"ASV669",0,0,0,1
"ASV675",0,0,1,0
"ASV676",0,0,1,0
"ASV677",0,0,1,0
"ASV678",0,0,1,0
